id;river_full_name;river_dest;side;dest_from_end;length;watershed_area;ten_km_trib_amount;ten_km_trib_sum_len;lakes_amount;lakes_sum_area;table3_id
I. Бассейн р. Оби от впадения р. Алея до устья р. Томи;;;;;;;;;;;
343;Бол. Болотная;Болотная;(пр);3;14;;3;4;;;178
344;Кашкарагаиха (Кошкар);Чумыш;(лв);53;84;528;11;34;;;
345;без названия;Кашкарагаиха;»;76;10;;6;12;;;
346;Еловка ;Чумыш;(пр);44;77;607;2;3;;;
;Реки в бассейне р. Чумыш, теряющиеся на водосборе;;;;;;224;425;;;
347;старица Долгое;Обь;(лв);3324;16;;—;—;;;
348;протока Тихая;Обь;(пр);3316;16;;;;;;
349;старица Черная;протока Тихая;»;14;10;;—;—;;;
350;Марайка;Обь;»;3303;19;;16;16;;;
;Малые притоки оз. Песчаново;;;;;;9;14;;;
351;Шелаболиха;Обь;(лв);3290;10;;1;1;;;
352;протока Топтушка;»;(пр);3287;20;;;;;;
353;Иня (верхняя);протока Топтушка;»;10;170;1520;10;21;;;
354;Падун ;Иня;»;154;17;;—;—;42;3,6;179.18
355;Крутишка ;»;»;154;12;;—;—;;;
356;Арапиха;»;»;150;27;;7;18;;;
357;Крутой;Арапиха;(лв);18;11;;5;6;;;
358;Малая;»;»;12;12;;9;24;;;
359;Стар. Иня;Иня;»;7;17;;6;9;;;
360;Кучук;Обь;»;3279;24;;2;2;;;
361;Морозиха;Кучук;(пр);16;16;;3;5;;;
362;Куличиха;»;»;8;24;;5;8;;;
363;Откоса ;Куличиха;»;8;11;;—;—;;;
364;Иня;Обь;»;3271;28;;11;22;;;
365;без названия;»;(лв);3269;15;;14;14;;;
366;Меретка (Мереть);Обь;(пр);3262;17;;9;24;;;
367;Слезянка (Печурка) ;»;»;3246;13;;—;—;;;
368;Верх. Сузун (Верх. Сузунка, Сузунка) ;»;»;3245;93;981;26;41;;;
369;протока Старица;Обь;(лв);3242;22;;;;52;6,0;
;Малые притоки оз. Агафонова Ляга;;;;;;1;5;;;
370;старица без названия;протока Старица;(лв);17;12;;—;—;;;
371;протока Чешкова;Обь;»;3237;12;;;;;;
372;Сузун (Нижний Сузун) ;»;(пр);3231;132;1260;18;57;27;1,3;181
373;Мышланка;Сузун;»;106;12;;5;6;;;
374;Холодная ;Сузун;(лв);66;27;;7;12;;;
375;Таволжанка ;»;(пр);38;16;;—;—;;;
376;Сухая ;Таволжанка;(лв);13;23;;2;2;;;
377;Каменка;Обь;(пр);3220;69;387;21;41;12;0,5;182
378;Чируха;»;»;3217;32;;2;2;;;
379;Сурьянка;»;»;3204;25;;3;8;;;
380;протока без названия;»;(лв);3203;11;;—;—;;;
381;протока Старая Обь;»;»;3192;45;;;;;;
382;Кишкинский Исток;протока Старая Обь;»;37;46;;20;27;;;
383;Упрямка;Кишкинский исток;(пр);43;11;;1;1;;;
384;Ермачиха;»;(лв);40;15;;6;8;;;
385;Исток;теряется ;—;—;12;;—;—;;;
386;Куприянская;Кишкинский исток;(лв);33;15;;4;3;;;
387;протока Заломная;»;(пр);9;22;;;;;;
388;Устье Степная;протока Старая Обь;(лв);17;39;;9;18;;;
389;протока Быстрый Исток;Устье Степная;(пр);17;16;;2;6;;;
390;Юдиха;теряется в болоте;—;—;23;;15;27;;;
391;протока без названия;Обь;(лв);3186;28;;;;;;
392;Исток;протока без названия № 391 (лв);;15;11;;3;10;;;
393;Крутишка;теряется в болоте  ;—;—;17;;9;17;;;
394;Аллак;Обь;(пр);3178;30;;18;20;;;
395;Аллакская Суева;»;(лв);3175;15;;4;3;;;
396;ручей Шеглочиха;Аллакская Суева;»;14;11;;6;12;;;
397;Исток (Суева);»;»;6;16;;5;9;;;
398;Каменская Суева;Обь;»;3169;16;;—;—;;;
399;Карасев Лог;Новосибирское вдхр. (р. Обь);»;3161;15;;3;3;;;
400;Суетка ;»;»;3157;29;231;1;4;;;183
401;Мокруша;Суетка;(пр);10;14;78;1;1;;;
402;Разбойная ;Новосибирское вдхр. (р. Обь);(лв);3153;37;255;4;7;;;
403;Алла (Велижанка, Аллак);теряется ;—;—;30;;11;22;;;
;Реки в бассейне р. Алла, теряющиеся на водосборе;;;;;;4;20;;;
404;без названия;теряется ;—;—;11;;—;—;;;
405;Крутишка;Новосибирское вдхр. (р. Обь);(лв);3147;12;;1;1;;;
406;Храпиха;»;(пр);3146;18;;—;—;;;
407;Ключевская;Храпиха;(лв);8;11;;—;—;;;
408;Масляха;Новосибирское вдхр. (р. Обь);»;3141;18;;—;—;;;
409;Алеус;»;»;3127;23;;3;9;;;
410;без названия;Алеус ;»;13;11;;3;2;;;
411;Мал. Чингис;Новосибирское вдхр. (р. Обь) ;(пр);3115;27;;14;36;;;
412;Чингис;»;»;3112;24;;6;9;;;
413;без названия;Чингис ;(лв);14;14;;6;7;;;
414;Полдневка;»;»;7;16;;—;—;;;
415;Кирза;Новосибирское вдхр. (р. Обь) »;;3104;15;;—;—;;;
416;Быструха ;»;»;3097;16;;—;—;;;
417;Каменка;»;(пр);3084;15;;1;1;;;
418;Орда ;»;(лв);3081;40;;5;6;;;
419;Замарайка;Орда ;»;27;12;;2;4;;;
