id;river_full_name;river_dest;side;dest_from_end;length;watershed_area;ten_km_trib_amount;ten_km_trib_sum_len;lakes_amount;lakes_sum_area;table3_id
I. Бассейн р. Оби от впадения р. Алея до устья р. Томи;;;;;;;;;;;
420;лог Шенишный;Замарайка ;(пр);4;12;;—;—;;;
421;Сушонок (Сушиха);Орда ;(лв);18;17;;15;37;;;
422;Луковка;»;»;15;17;;7;13;;;
423;Шарап;Новосибирское вдхр. (р. Обь);»;3071;21;;3;4;;;
424;Ельцовка;»;(пр);3056;12;;—;—;;;
425;Каракан (Верх. Каракан) ;»;»;3047;86;1290;79;134;29;0,5;184
426;Фосиха;Каракан (Верх. Каракан) ;(пр);63;12;;12;12;;;
427;Плоская;»;(лв);59;24;;7;31;;;
428;Каменка;»;»;49;14;;1;2;;;
429;Ниж. Каракан;Каракан;(лв);45;35;;10;21;;;
430;Безродиха;Ниж. Каракан;»;14;11;;3;6;;;
431;Черемшанка;»;(пр);5;22;;6;17;;;
432;Лосиха;Каракан;(лв);27;14;;—;—;;;
433;Ирмень;Новосибирское вдхр. (р. Обь);»;3043;41;577;15;40;;;185
434;без названия;Ирмень ;»;7;17;;2;6;;;
435;Тулка;Новосибирское вдхр. (р. Обь);(пр);3027;21;;21;30;;;
436;Мильтюш;»;»;3008;76;812;21;41;22;0.3;
437;Плаунь ;Мильтюш ;(лв);80;12;;11;14;;;
438;Крутая;»;»;77;13;;4;5;;;
439;Плоская;»;»;75;15;;—;—;;;
440;Кончураиха ;»;»;64;15;;29;44;;;
441;Каменка;»;»;24;24;;18;29;;;
442;Бердь ;Новосибирское вдхр. (р. Обь);(пр);2989;363;8650;424;735;113;3,3;186—193
443;Каланка;Бердь ;»;344;12;;34;40;;;
444;Таловка;Бердь;(пр);339;16;;40;40;;;
445;Петрушиха;»;(лв);331;16;;60;66;;;
446;Талица Кривая;»;»;307;10;;15;21;;;
447;Павловка;»;(пр);300;21;;85;83;;;
448;Березовая;»;»;286;14;;26;20;;;
449;Березовая 2-я;Березовая;(лв);2;12;;44;38;;;
450;Анфимов Мочег;Бердь;(пр);272;14;;33;50;;;
451;Матвеевка;»;»;266;12;;23;23;;;
452;Матренка;»;»;259;15;;18;24;;;
453;Суенга;»;»;240;71;821;53;105;;;194
454;Полдневая;Суенга;(лв);57;24;;22;36;;;
455;Дражны Тайлы;»;(пр);44;18;;13;24;;;
456;Большие Тайлы;»;»;31;21;;28;49;;;
457;Поперечные Тайлы;Большие Тайлы;»;7;13;;10;13;;;
458;Каменка;Суенга;(пр);22;12;;11;17;;;
459;Мостовка;»;(лв);11;11;;6;16;;;
460;Кинтереп (Бол. Кинтереп);»;(пр);2;30;;59;103;;;
461;Бол. Таловка (Таловка);Кинтереп;(лв);20;11;;3;7;;;
462;Елбань ;Бердь;»;232;62;356;102;175;;;195
463;Бердюжиха;Елбань;»;16;13;;20;29;;;
464;Зайчиха;Бердь;(пр);229;14;;14;17;;;
465;Томка;»;(лв);218;12;;11;15;;;
466;Зырянка;»;(пр);210;30;;23;36;;;
467;Шемонаиха;»;(лв);202;10;;5;7;;;
468;Филимониха;»;(пр);198;10;;3;6;;;
469;Барсучиха;»;(лв);195;13;;4;4;;;
470;Курья;»;(пр);190;14;;4;4;;;
471;Бол. Стрельна;»;(лв);187;12;;7;15;;;
472;Мостовка;»;(пр);186;11;;5;10;;;
473;Изырак;»;»;184;36;;56;90;;;
474;Матожиха;Изырак;(лв);10;12;;18;21;;;
475;Пайвиха;Бердь;»;180;12;;9;18;;;
476;Каменка;»;(пр);178;16;;13;16;;;
477;Укроп;»;(лв);167;26;;9;26;;;
478;Сухая Каменка;Укроп;»;10;13;;3;7;;;
479;Талица ;Бердь;»;166;16;;2;12;;;
480;Сухая Каменка;»;»;166;10;;—;—;;;
481;Кинтереп;»;»;162;14;;22;36;;;
482;Выдриха;»;(пр);139;14;;6;7;;;
483;Бол. Ик (Ик);»;»;126;75;730;127;192;;;
484;Листвянка;Бол. Ик (Ик);»;47;11;;20;21;;;
485;Бол. Еловка;»;»;41;15;;32;38;;;
486;Мал. Еловка;Бол. Еловка;»;0.9;10;;20;23;;;
487;Аштак;Бол. Ик (Ик);(лв);37;12;;35;39;;;
488;Крохалевка;Бол. Ик (Ик);(пр);23;13;;26;36;;;
489;Тарадановка;»;»;16;15;;15;22;;;
490;Мал. Ик;Бол. Ик;»;8;37;;82;102;;;
491;Каменка;Мал. Ик;»;12;12;;14;12;;;
492;Китерня;Бол. Ик;»;7;12;;16;19;;;
493;Ичек;Бердь;»;114;13;;14;18;;;
494;Чем;»;»;105;96;850;96;170;;;
495;Головниха;Чем;(лв);78;11;;3;2;;;
496;Коровиха;»;»;73;10;;8;14;;;
497;Агафониха;»;(пр);60;12;;9;10;;;
498;Каменка;»;»;42;14;;6;6;;;
499;Укроп;»;»;20;30;;36;67;;;
500;Осиновка ;Укроп;(лв);14;15;;26;46;;;
501;Китерня ;Чем;(пр);14;24;;32;52;;;
502;Листвяшка (Каменка);Бердь;(лв);99;13;;16;21;;;
503;Елбаш;»;(пр);83;33;;46;74;;;
504;Бол. Елбаш;Елбаш;(лв);12;28;;31;45;;;
505;Крутиха;»;(пр);9;12;;7;10;;;
506;Выдриха ;Бердь;(лв);78;38;;30;58;;;
507;Шипелька;Выдриха;»;19;10;;5;8;;;
508;Чесноковка ;Бердь;(пр);62;15;;13;18;;;
509;Шипуниха ;»;(лв);56;79;575;31;73;;;196
510;Ситовка ;Шипуниха;(лв);60;19;;11;36;;;
511;Безымянный;Ситовка;(пр);8;10;;2;2;;;
512;Койниха ;Бердь;(лв);53;86;728;9;30;;;197
513;Бесштанка;Койниха;»;69;18;;3;11;;;
514;Каменка ;»;»;25;14;;1;1;;;
515;Голая ;»;»;24;18;;4;12;;;
516;Лебяжья;Голая;(лв);5;15;;3;10;;;
517;Таганиха;Койниха;»;21;15;;4;4;;;
518;Черная (Чернодыриха);Бердь;»;45;21;125;1;2;;;198
519;лог Ивановский ;Черная;»;3;14;;3;7;;;
520;Тальменка;Бердь;(пр);35;28;;35;52;;;
521;Коен (Бол. Коен);»;»;27;54;;52;111;;;199
522;Брюшиха;Коен;(лв);36;11;;14;18;;;
523;Мал. Коен;»;(пр);34;12;;8;14;;;
524;Каменка ;»;»;28;14;;23;40;;;
525;Волчиха ;»;»;18;11;;15;26;;;
526;Шадриха ;Бердь;(пр);22;17;;23;40;;;
527;Ельцовка;Обь;»;2980;14;;13;24;;;
526;Иня (нижняя);»;»;2965;663;17 600;286;638;1047;20,5;200—212
529;Таловка;Иня;(лв);635;11;;12;8;;;
530;Чигир;»;»;631;15;;13;17;;;
531;Пустынка;Чигир;»;0.3;10;;5;4;;;
532;Кучерь;Иня;(пр);626;14;;10;12;;;
533;Каралда;»;(лв);622;19;;19;28;;;
534;Худящевка (Березовая);»;(пр);611;15;;23;27;;;
535;Еловка;»;(лв);597;18;;19;36;;;
536;Уроп ;»;(пр);594;45;;90;119;;;
5з7;Уроп;Уроп;(лв);30;12;;36;35;;;
538;Черновой Уроп;»;»;21;21;;54;58;;;
539;без названия;Черновой Уроп;(пр);10;11;;30;27;;;
540;Никитиха;»;(лв);3;10;;17;13;;;
541;Талда;Иня;»;584;23;;27;55;;;
542;Дальний Кулдос;»;»;581;17;;4;5;;;
543;Ближний Кулдос;Дальний Кулдос;»;0.3;19;;8;24;;;
544;Дальний Менчереп;Иня;(пр);567;20;;30;34;;;
545;Салаир;Иня;(лв);565;14;;11;14;;;
546;Ближний Менчереп (Анчереп);»;(пр);558;20;;40;47;;;
547;Бачат (Бол. Бачат, Степной Бачат, Бочат);»;(лв);538;86;1720;72;143;;;213—215
548;Юрман;Бачат (Бол. Бачат);»;57;16;;10;14;;;
549;Сухая Речка ;»;»;55;14;;—;—;;;
550;Баскускан;»;(пр);32;17;;7;13;;;
551;Артышта;Баскускан;»;0.6;19;;11;22;;;
552;Черта;Бачат (Бол. Бачат);»;25;23;;5;15;;;
553;Васичкина;Черта;(лв);6;10;;4;21;;;
554;Мал. Бачат;Бачат;»;19;60;805;83;144;;;216.217
555;Кубанда;Мал. Бачат;»;49;17;;26;40;;;
556;Толмовая (Бол. Толмовая);»;»;39;31;;31;61;;;218
557;без названия;Толмовая (Бол. Толмовая);(пр);22;10;;2;6;;;
558;Бол. Речка;»;»;13;14;;11;14;;;
559;Мал. Толмовая (Прямушка);»;»;6;20;;48;63;;;
560;Салаирка;Мал. Бачат;(лв);32;17;;16;20;;;
561;Уба;Бачат;»;3;24;;1;2;;;
562;Мереть;Иня;(пр);528;39;;24;47;;;
563;2-я Мереть;Мереть;(лв);26;12;;16;25;;;
564;Ур;Иня;»;518;102;1360;70;128;;;
565;Подколенная;Ур;»;85;22;;11;15;;;
566;Бирюля;»;(пр);77;35;;52;85;;;
567;Еловка;Бирюля;(лв);19;30;;97;105;;;
568;Кедровка;Еловка;(пр);2;15;;42;56;;;
569;Хомутина;Ур;(лв);66;21;;6;11;;;
570;Уськанда;»;(пр);40;13;;—;—;;;
571;без названия;Уськанда;(лв);0.5;14;;3;4;;;
572;без названия;Ур;(пр);4;14;;2;4;;;
573;Камышенка;Иня;(лв);481;18;;7;15;;;218 а
574;Егозова;»;(пр);476;14;;15;12;;;
575;Касьма;»;(лв);465;99;1430;83;153;;;
576;Чесноковка;Касьма;»;83;13;;13;16;;;
577;Чебура;»;»;62;38;;27;47;;;
578;Чебурушка;Чебура;»;24;12;;4;7;;;
579;Голодаевка;Касьма;(пр);60;14;;10;12;;;
580;без названия;»;(лв);45;14;;2;1;;;
581;лог Поворотный;»;»;24;17;;8;18;;;
582;Камышная;»;(пр);5;23;;3;10;;;
583;Журавлиха;Камышная;»;8;13;;3;5;;;
584;Шелковиха ;Иня;(лв);441;11;;4;8;;;
585;Тарабариха;»;»;434;14;;1;3;;;
586;Савиха;»;»;416;13;;3;2;;;
587;Солоновка;Иня;(лв);401;20;;9;18;;;
588;Отшиб;Солоновка;(пр);4;12;;2;5;;;
589;Каменка;Иня;»;401;16;;21;31;;;
590;Камысла;»;(лв);380;18;;6;21;;;
591;Искитим;»;(пр);363;34;;42;81;;;
592;Бол. Корчуган (Корчуган);»;»;355;51;483;36;82;;;
593;Голованиха ;Бол. Корчуган;(лв);30;16;;7;7;;;
594;Мал. Корчуган;»;»;23;23;;38;74;;;
595;Каменка;»;»;21;11;;4;5;;;
596;без названия;теряется;—;—;12;;6;3;;;
597;Тарсьма;Иня;(лв);334;93;1820;42;85;;;219
598;Фролиха (Волотомиха);Тарсьма;(пр);82;12;;17;28;;;
599;Коурак;»;(лв);70;33;;26;43;;;
600;Колтырак;»;(пр);48;28;;33;58;;;
601;Шабаниха;Колтырак;»;10;15;;11;13;;;
602;Исток;Тарсьма;(пр);32;49;;9;20;;;
603;Окуневка;»;»;7;23;;1;2;;;
604;Грязная ;теряется ;»;—;16;;9;13;;;
605;Бормотушка;Иня;»;311;11;;8;16;;;
606;Каменка;»;(лв);303;12;;1;1;;;
607;Тыхта;»;(пр);294;23;;11;23;;;
608;Усть-Падун ;Тыхта;»;11;11;;3;3;;;
609;Итыкус;Иня;(лв);288;22;;3;8;;;
610;Чертанда (Чертенда);»;»;285;18;;4;8;;;
611;Койбыш;»;»;263;15;;6;12;;;
612;Березовский ;»;(пр);263;13;;2;2;;;
613;Березовая;»;»;258;26;;14;46;;;
614;Ключевая (Каменка);Березовая;(лв);11;13;;3;6;;;
615;Сосновка;Иня;(пр);244;40;;23;50;;;
616;Крутая;Сосновка;»;21;12;;4;8;;;
617;Гохали (Черный Падуи);»;»;18;15;;15;24;;;
618;Митиха;Иня;»;230;13;;4;8;;;
619;Кусьмень;»;»;225;24;;22;38;;;
620;Киик;»;»;216;25;;13;24;;;
621;Осиновка;Киик;»;12;12;;7;5;;;
622;Мал. Изылы;Иня;(лв);204;85;651;33;56;;;
623;Бол. Успесь;Мал. Изылы;»;44;20;;2;12;;;
624;Изылы;Иня;»;194;62;937;19;32;;;
625;Кадниха;Изылы;(пр);37;10;;2;2;;;
626;Ангош (Изылы);Кадниха;(лв);3;25;;13;22;;;
627;без названия;Ангош;(np);8;13;;11;13;;;
628;Курундус;Изылы;»;28;27;;12;33;;;
629;Бол. Одинека;»;(лв);18;11;;2;2;;;
630;Мал. Одинека;»;»;12;11;;1;1;;;
631;Проскокушка;»;(пр);11;11;;2;2;;;
632;Куделя;Иня;(лв);171;18;;5;15;;;
633;Тогучинка;»;(пр);165;31;;35;73;;;
634;Боровлянка;Тогучинка;(лв);14;13;;6;8;;;
635;Маматынь (Маматын) ;Иня ;(пр) ;147;35;;33;67;;;
636;Боровая (Боровушка);Маматынь;(лв);13;10;;13;20;;;
637;Кайлы;Иня;(пр);121;19;;13;24;;;
638;Канарбуга;»;(лв);111;36;;23;46;;;
639;Иза 3-я;протока р. Иня;»;94;13;;1;1;;;
640;Буготак;Иня;»;80;40;;48;83;;;
641;Каменка;Буготак;»;27;14;;8;10;;;
642;Карпысак;»;»;15;17;;26;66;;;
643;Каменка;»;(пр);8;14;;5;8;;;
644;Ора;Иня;»;62;42;;62;95;;;
645;Большая (Березовка);Ора;(лв);15;13;;25;31;;;
646;Петрушиха;»;(пр);7;17;;27;28;;;
647;Ярская;Иня;»;55;13;;19;34;;;
648;Большая;»;(лв);49;13;;5;13;;;
649;Крутиха;Иня;»;44;11;;4;4;;;
650;Шабаниха;»;»;39;10;;5;8;;;
651;Березовка;»;»;37;11;;1;4;;;
652;Мосиха;»;»;25;15;;13;32;;;
653;Издревая;»;(пр);22;27;;68;128;;;
654;Плещуха;»;»;1;12;;11;10;;;
;Реки в бассейне р. Иня, теряющиеся на водосборе;;;;;;194;385;;;
655;Тула (Бол. Тула) ;Обь;(лв);2964;72;740;5;8;21;0,9;220.221
656;Верх. Тула (Мал. Тула);Тула;»;15;35;;—;—;;;
657;Каменка;Обь;(пр);2961;25;130;20;38;;;222—225
657а;Ельцовка 1-я;»;»;2957;9;24;3;4;;;226
658;Ельцовка 2-я ;»;»;2956;14;42;8;10;;;227
659;Старица, зал. Старица ;Обь;(лв);2935;14;;—;—;;;
660;Бол. Барлак;»;(пр);2924;51;474;57;82;3;0,1;
661;Качимовка;Бол. Барлак;(лв);14;11;;1;1;;;
662;Пашенка;»;»;9;15;;4;4;;;
663;Мал. Барлак;»;(пр);4;26;;19;35;;;
664;Чаусс;Обь;(лв);2912;18;4760;1;4;206;12,8;228—230
664а;Оеш;Чаусс;»;18;107;4610;11;19;;;231.232
665;Семкина;Оеш;»;24;17;;2;4;;;
666;Чик;»;(пр);6;114;2740;25;56;;;233.234
667;Федосиха;Чик;(лв);80;22;;2;7;;;
668;Скакунка ;»;»;74;10;;1;3;;;
669;Шариха ;»;»;66;18;;3;11;;;
670;Камышенка;»;»;20;43;;13;14;;;
671;старица, без названия;»;(пр);20;17;;7;3;;;
672;Криводановка (Власиха) ;старица, без названия;(лв);8;22;;6;8;;;
;Малые притоки оз. Духовое;;;;;;2;2;;;
;Малые притоки оз. Козыки;;;;;;2;12;;;
;Реки в бассейне р. Чик, теряющиеся на водосборе;;;;;;5;24;;;
673;Уень;Обь;(лв);2898;23;963;—;—;;;
674;Кашлам;Уень;»;6;19;;2;3;;;
675;Амба;Кашлам;»;16;26;;4;15;;;
676;Вьюна;»;»;1;55;970;7;42;;;235.236
677;Таловка;Вьюна;»;5;13;;1;1;;;
678;Поросс;Обь;(пр);2882;56;545;68;120;6;0,2;
679;Поросик;Поросс;(лв);41;15;;21;28;;;
680;Скороходиха;»;(пр);30;11;;15;21;;;
681;без названия;»;»;27;12;;9;14;;;
682;Чесноковка;»;(лв);21;18;;19;27;;;
683;Умрева;Обь;(пр);2854;14;;5;9;;;
684;Уень ;Обь;(лв);2840;86;;;;;;
685;без названия;Уень ;(пр);8;11;;—;—;;;
686;Ояш;Обь;»;2830;88;1240;47;77;9;0,4;237.238
687;Ояшенка ;Ояш;(лв);73;14;;6;23;;;
688;Чебула;»;(пр);70;13;;11;12;;;
689;Зеленая;Чебула;(лв);4;10;;29;33;;;
690;Кубовка;Ояш;»;60;18;;13;32;;;
691;Сарбоян;Кубовка;»;15;20;;11;26;;;
692;Сынок;Сарбоян;»;4;13;;3;4;;;
693;Балта ;Ояш;»;52;35;;9;20;;;
694;Круть-Балта;Балта;(лв);20;13;;5;9;;;
695;без названия;»;»;9;16;;5;8;;;
696;Анюшка;»;»;7;12;;3;4;;;
697;Здрева;Ояш;(пр);6;13;;14;32;;;
;Реки в бассейне р. Ояш, теряющиеся на водосборе;;;;;;8;11;;;
698;Тула;Обь;»;2821;22;;4;12;;;
699;Красная;»;»;2817;16;;1;1;;;
700;Икса;»;»;2815;77;734;46;97;;;
701;Елбак (Верх. Елбак);Икса;(лв);55;23;;15;19;;;
702;Чебулинский Падун;Елбак ;(пр);11;13;;12;16;;;
703;Баксон;Икса;(лв);18;20;;3;4;;;
704;Ельцовка;»;»;13;18;;—;—;;;
705;протока Симан;Обь;»;2795;41;;;;;;
706;Кинда;протока Симан;»;21;60;615;7;23;11;1;
;осушительные канавы в бассейне р. Кинда;;;;;;4;16;;;
707;Уртамка;Обь;(лв);2775;45;;12;28;;;
708;Тека;Уртамка;»;18;16;;—;—;;;
709;Кумлова;»;(пр);16;30;;1;2;;;
710;без названия;Обь;(лв);2762;17;;3;10;;;
711;без названия;»;»;2758;11;;7;12;;;
712;Таган;Обь;(пр);2751;69.5;1230;10;26;141;11.9;
713;Исток Осиновый;Таган;(лв);40;13;;—;—;;;
714;Оспа (Кунчурук);»;(пр);26;67;693;29;57;;;
715;Бура (Красная);Кунчурук;»;18;21;;1;1;;;
716;Крутая (Бол. Крутая);теряется ;—;—;14;;6;12;;;
717;Березовая;Оспа;(пр);3;23;;8;18;;;
718;Ташлаир;Таган;»;10;16;;1;3;;;
719;Ира;»;(лв);8;14;;4;3;;;
720;Андрава;»;(пр);7;17;;5;6;;;
721;Киреева;Обь;»;2745;11;;4;10;;;
722;Чичаг (Чиган);»;»;2738;18;;1;2;;;
723;Усковка;»;(лв);2733;25;;4;4;;;
724;без названия;Усковка;»;18;12;;11;18;;;
725;без названия;»;»;4;21;;13;33;;;
726;без названия;болото Обское;—;—;12;;6;6;;;
727;Юнжерка (Мундрова);Обь;(лв);2719;34;;20;34;;;
728;без названия;Юнжерка (Мундрова) ;;14;14;;8;7;;;
729;Бобровка;оз. Жарково;—;—;24;;2;2;;;
730;Чубыр;теряется ;—;—;19;;1;2;;;
II. Бассейн р. Томи;;;;;;;;;;;
731;Томь;Обь ;(пр);2677;827;62 000;1418;2178;1147;40.6;239-285
732;Куйсух;Томь;(лв);808;16;;14;28;;;
733;без названия;»;(пр);805;12;;12;19;;;286
734;Тузухсу;»;(лв);795;22;;31;65;;;
735;Бискамжа;Тузухсу;(пр);4;24;;28;45;;;
736;Казымча;Томь;(лв);788;14;;7;13;;;
737;Бол. Шора;»;»;772;47;;87;111;;;287.288
738;Мал. Шора;Бол. Шора;»;11;13;;24;55;;;
739;Козгол;»;(пр);13;14;;6;9;;;
