id;river_full_name;river_dest;side;dest_from_end;length;watershed_area;10km_trib_amount;10km_trib_sum_len;lakes_amount;lakes_sum_area;table3_id;;;;;
Бассейн р. Бия;;;;;;;;;;;
430;Ущ. Кара-Чад (Ущ. Карашад);»;(лв);14;28;;6;18;;;
431;Аргамджи (Аргамжи);Ущ. Кара-Чад;(пр);5;21;;6;12;;;
432;Аргамджи (Аргамжи);Аргамджи № 431;(лв);6;13;;2;1;;;
433;без названия;оз. Гусиное;—;—;10;;—;—;;;
434;Кальджпн (Кальжин);Аргут (Ак-Алаха);(лв);62;16;;4;7;;;
;Малые притоки оз. Кальджин_Куль-Бас;;;;;;10;22;;;
;Малые притоки оз. Кальджин-Куль;;;;;;2;3;;;
435;Ак-Кол;Аргут (Ак-Алаха);(пр);167;28;;20;72;;;
436;без названия;Ак-Кол;»;14;17;;5;16;;;
437;Кара-Булак;Аргут (Ак-Алаха);»;166;15;;8;27;;;
438;Жанжикуль;»;(лв);150;11;;5;10;;;
439;Зунгунгуй;»;(пр);139;10;;10;19;;;
440;Караалаха;»;(лв);133;33;;29;86;;;
441;без названия;Караалаха;»;23;11;;11;17;;;
442;без названия;»;(пр);17;11;;10;26;;;
;Малые притоки оз. Алахинское;э;;;;;4;16;;;
443;Байджигит (Байжигит);Аргут (Ак-Алаха);(пр);122;12;;13;23;;;
444;Жасатер (Усай);Аргут;»;106;102;1 820;43;136;126;11.41;63
;Малые притоки оз. Зерлю-Куль;;;;;;3;6;;;
